Co.,URL
AT&T,https://www.investing.com/equities/at-t
AMD,https://www.investing.com/equities/adv-micro-device
Apple,https://www.investing.com/equities/apple-computer-inc
NVIDIA,https://www.investing.com/equities/nvidia-corp
Twitter Inc,https://www.investing.com/equities/twitter-inc
Ford Motor,https://www.investing.com/equities/ford-motor-co
Bank of America,https://www.investing.com/equities/bank-of-america
Warner Bros Discovery,https://www.investing.com/equities/discovery-holding-co
American Airlines,https://www.investing.com/equities/american-airlines-group
Microsoft,https://www.investing.com/equities/microsoft-corp
Intel,https://www.investing.com/equities/intel-corp
Occidental,https://www.investing.com/equities/occidental-petro
Wells Fargo&Co,https://www.investing.com/equities/wells-fargo
Cisco,https://www.investing.com/equities/cisco-sys-inc
Carnival Corp,https://www.investing.com/equities/carnival-corp-exch
Pfizer,https://www.investing.com/equities/pfizer
Marathon Oil,https://www.investing.com/equities/marathon-oil
Exxon Mobil,https://www.investing.com/equities/exxon-mobil
Tesla,https://www.investing.com/equities/tesla-motors
Verizon,https://www.investing.com/equities/verizon-communications
Meta Platforms,https://www.investing.com/equities/facebook-inc
Citigroup,https://www.investing.com/equities/citigroup
Micron,https://www.investing.com/equities/micron-tech
Coca-Cola,https://www.investing.com/equities/coca-cola-co
General Motors,https://www.investing.com/equities/gen-motors
Delta Air Lines,https://www.investing.com/equities/delta-air-lines-new
Nielsen,https://www.investing.com/equities/nielsen-holdings-nv
Norwegian Cruise Line,https://www.investing.com/equities/norwegian-cruise-line-holdings-ltd
Comcast,https://www.investing.com/equities/comcast-corp-new
HP Inc,https://www.investing.com/equities/hewlett-pack
CSX,https://www.investing.com/equities/csx-corp
Kinder Morgan,https://www.investing.com/equities/kinder-morgan
JPMorgan,https://www.investing.com/equities/jp-morgan-chase
Bristol-Myers Squibb,https://www.investing.com/equities/bristol-myer-squiib
PayPal Holdings Inc,https://www.investing.com/equities/paypal-holdings-inc
Merck&Co,https://www.investing.com/equities/merck---co
Huntington Bancshares,https://www.investing.com/equities/huntgtn-bkshr
Freeport-McMoran,https://www.investing.com/equities/freeport-mcm
Qualcomm,https://www.investing.com/equities/qualcomm-inc
Hewlett Packard,https://www.investing.com/equities/hewlett-packard-enterprise-co
Halliburton,https://www.investing.com/equities/halliburton-co
Citizens Financial Group Inc,https://www.investing.com/equities/citizens-financial-group-inc
United Airlines Holdings,https://www.investing.com/equities/united-continenta
Applied Materials,https://www.investing.com/equities/applied-matls-inc
Williams,https://www.investing.com/equities/williams-cos
Chevron,https://www.investing.com/equities/chevron
Devon Energy,https://www.investing.com/equities/devon-energy
KeyCorp,https://www.investing.com/equities/keycorp-new
Walmart,https://www.investing.com/equities/wal-mart-stores
NextEra Energy,https://www.investing.com/equities/nextera-energy-inc
Kroger,https://www.investing.com/equities/kroger-co
Host Hotels Resorts,https://www.investing.com/equities/host-hotels---res
Starbucks,https://www.investing.com/equities/starbucks-corp
CarMax,https://www.investing.com/equities/carmax-inc
AbbVie,https://www.investing.com/equities/abbvie-inc
Mosaic,https://www.investing.com/equities/mosaic-company
Morgan Stanley,https://www.investing.com/equities/morgan-stanley
Regions Financial,https://www.investing.com/equities/regions-fin
Schlumberger,https://www.investing.com/equities/schlumberger-ltd
Walt Disney,https://www.investing.com/equities/disney
Altria,https://www.investing.com/equities/altria-group
Exelon,https://www.investing.com/equities/exelon-corp
PulteGroup,https://www.investing.com/equities/pulte-homes-inc
Visa A,https://www.investing.com/equities/visa-inc
U.S. Bancorp,https://www.investing.com/equities/us-bancorp
ConocoPhillips,https://www.investing.com/equities/conoco-phillips
Viatris,https://www.investing.com/equities/mylan-inc
Gilead,https://www.investing.com/equities/gilead-sciences-inc
Mondelez,https://www.investing.com/equities/mondelez-international-inc
Gap,https://www.investing.com/equities/gap.inc
Coterra Energy,https://www.investing.com/equities/cabot-oil---gas
Lumen Technologies,https://www.investing.com/equities/centurylink
Charles Schwab,https://www.investing.com/equities/charles-schwab
Colgate-Palmolive,https://www.investing.com/equities/colgate-palmo
Oracle,https://www.investing.com/equities/oracle-corp
Boeing,https://www.investing.com/equities/boeing-co
J&J,https://www.investing.com/equities/johnson-johnson
Southern,https://www.investing.com/equities/southern-co
TJX,https://www.investing.com/equities/tjx-co-inc
The AES,https://www.investing.com/equities/aes-corp
APA Corp,https://www.investing.com/equities/apache-corp
Synchrony Financial,https://www.investing.com/equities/synchrony-fin
Fifth Third,https://www.investing.com/equities/fifth-third-bk
PPL,https://www.investing.com/equities/ppl-corp
Procter&Gamble,https://www.investing.com/equities/procter-gamble
Southwest Airlines,https://www.investing.com/equities/sth-west-airlines
Truist Financial Corp,https://www.investing.com/equities/bb-t-corp
Walgreens Boots,https://www.investing.com/equities/walgreen-co
Nike,https://www.investing.com/equities/nike
ConAgra Foods,https://www.investing.com/equities/conagra-foods
Moderna,https://www.investing.com/equities/moderna
Kraft Heinz,https://www.investing.com/equities/kraft-foods-inc
Franklin Resources,https://www.investing.com/equities/franklin-res
CenterPoint Energy,https://www.investing.com/equities/centerpoint
Newmont Goldcorp,https://www.investing.com/equities/newmont-mining
Carrier Global,https://www.investing.com/equities/carrier-global-corp
Raytheon Technologies,https://www.investing.com/equities/united-tech
Activision Blizzard,https://www.investing.com/equities/activision-inc
DR Horton,https://www.investing.com/equities/d.r.-horton-inc
Salesforce.com,https://www.investing.com/equities/salesforce-com
Philip Morris,https://www.investing.com/equities/philip-morris-intl
Texas Instruments,https://www.investing.com/equities/texas-instru
Ross Stores,https://www.investing.com/equities/ross-stores-inc
General Electric,https://www.investing.com/equities/general-electric
Medtronic,https://www.investing.com/equities/medtronic
Abbott Labs,https://www.investing.com/equities/abbott-laboratories
Invesco,https://www.investing.com/equities/invesco-ltd
Archer-Daniels-Midland,https://www.investing.com/equities/archer-daniels-mid
Lowe’s,https://www.investing.com/equities/lowes-companies
American Express,https://www.investing.com/equities/american-express
Johnson Controls,https://www.investing.com/equities/johnson-controls
Cardinal Health,https://www.investing.com/equities/cardinal-health
Public Service Enterprise,https://www.investing.com/equities/publ-svc-enter
Bank of NY Mellon,https://www.investing.com/equities/bk-of-ny
Valero Energy,https://www.investing.com/equities/valero-energy
Las Vegas Sands,https://www.investing.com/equities/las-vegas-sands
Dow,https://www.investing.com/equities/dow-chemical
CVS Health Corp,https://www.investing.com/equities/cvs-corp
Corning,https://www.investing.com/equities/corning-inc
NiSource,https://www.investing.com/equities/ni-source-inc
Home Depot,https://www.investing.com/equities/home-depot
Mastercard,https://www.investing.com/equities/mastercard-cl-a
eBay,https://www.investing.com/equities/ebay-inc
Boston Scientific,https://www.investing.com/equities/boston-scien-cp
PepsiCo,https://www.investing.com/equities/pepsico
Marathon Petroleum,https://www.investing.com/equities/marathon-petroleum-corp.
Fidelity National Info,https://www.investing.com/equities/fidelity-natl-in
Netflix,"https://www.investing.com/equities/netflix,-inc."
Bath & Body Works,https://www.investing.com/equities/limited-brands
Match Group,https://www.investing.com/equities/match-group-inc
Under Armour A,https://www.investing.com/equities/under-armour
General Mills,https://www.investing.com/equities/general-mills
Fastenal,https://www.investing.com/equities/fastenal-co
Tapestry,https://www.investing.com/equities/coach
Berkshire Hathaway B,https://www.investing.com/equities/berkshire-hathaway
AIG,https://www.investing.com/equities/american-intl-group
T-Mobile US,https://www.investing.com/equities/metropcs-communications
United Parcel Service,https://www.investing.com/equities/united-parcel
MGM,https://www.investing.com/equities/mgm-mirage
UnitedHealth,https://www.investing.com/equities/united-health-group
Under Armour C,https://www.investing.com/equities/under-armour-c
Microchip,https://www.investing.com/equities/microchip-technology-inc
Penn National Gaming,https://www.investing.com/equities/penn-national-gaming-inc
Juniper,https://www.investing.com/equities/juniper-networks-inc
Weyerhaeuser,https://www.investing.com/equities/weyerhaeuser
Best Buy,https://www.investing.com/equities/best-buy
Honeywell,https://www.investing.com/equities/honeywell-intl
Lennar,https://www.investing.com/equities/lennar
Prologis,https://www.investing.com/equities/prologis
Target,https://www.investing.com/equities/target
Baxter,https://www.investing.com/equities/baxter-intl
Amcor PLC,https://www.investing.com/equities/amcor-plc
NXP,https://www.investing.com/equities/nxp-semiconductors
Healthpeak Properties,https://www.investing.com/equities/hcp-inc
EOG Resources,https://www.investing.com/equities/eog-resources
Etsy Inc,https://www.investing.com/equities/etsy-inc
Monster Beverage,https://www.investing.com/equities/monster-beverage
ICE,https://www.investing.com/equities/intercontintlex
Union Pacific,https://www.investing.com/equities/union-pacific
Western Digital,https://www.investing.com/equities/western-digital
Phillips 66,https://www.investing.com/equities/phillips-66-ltd
Fiserv,https://www.investing.com/equities/fiserv-inc
Kimco,https://www.investing.com/equities/kimco-realty
Amphenol,https://www.investing.com/equities/amphenol-corp
NortonLifeLock Inc,https://www.investing.com/equities/symantec-corp
Xcel Energy,https://www.investing.com/equities/xcel-energy
Dominion Energy,https://www.investing.com/equities/dominion-res
Caesars,https://www.investing.com/equities/caesars-entertainment-corp
CF Industries,https://www.investing.com/equities/cf-industries
Corteva,https://www.investing.com/equities/corteva
Otis Worldwide,https://www.investing.com/equities/otis-worldwide-corp
Sysco,https://www.investing.com/equities/sysco-corp
Amazon.com,https://www.investing.com/equities/amazon-com-inc
McDonald’s,https://www.investing.com/equities/mcdonalds
MetLife,https://www.investing.com/equities/metlife-inc
IBM,https://www.investing.com/equities/ibm
Consolidated Edison,https://www.investing.com/equities/cocnsol-edison
LKQ,https://www.investing.com/equities/lkq
Agilent Technologies,https://www.investing.com/equities/agilent-tech
Eli Lilly,https://www.investing.com/equities/eli-lilly-and-co
3M,https://www.investing.com/equities/3m-co
Danaher,https://www.investing.com/equities/danaher-corp
Analog Devices,https://www.investing.com/equities/analog-devices
News Corp A,https://www.investing.com/equities/news-corp.
NetApp,https://www.investing.com/equities/network-appliance-inc
Electronic Arts,https://www.investing.com/equities/electronic-arts-inc
Caterpillar,https://www.investing.com/equities/caterpillar
Nucor,https://www.investing.com/equities/nucor
American Electric Power,https://www.investing.com/equities/american-electric
Paramount Global B,https://www.investing.com/equities/viacom-cl-b
Duke Energy,https://www.investing.com/equities/duke-energy
Progressive,https://www.investing.com/equities/the-progressive
FirstEnergy,https://www.investing.com/equities/first-energy
Expedia,https://www.investing.com/equities/expedia
Yum! Brands,https://www.investing.com/equities/yum!-brands-inc
Goldman Sachs,https://www.investing.com/equities/goldman-sachs-group
Realty Income,https://www.investing.com/equities/realty-income
Cognizant A,https://www.investing.com/equities/cognizant-technology-solutio
Amgen,https://www.investing.com/equities/amgen-inc
IPG,https://www.investing.com/equities/interpublic-grp
Fortive,https://www.investing.com/equities/fortive-corp
S&P Global,https://www.investing.com/equities/mcgraw-hill
Newell Brands,https://www.investing.com/equities/newell-rubber
DuPont De Nemours,https://www.investing.com/equities/du-pont
Emerson,https://www.investing.com/equities/emerson-elec
Costco,https://www.investing.com/equities/costco-whsl-corp-new
International Paper,https://www.investing.com/equities/intl-paper-co
Adobe,https://www.investing.com/equities/adobe-sys-inc
Aptiv,https://www.investing.com/equities/delphi-automotive
Hologic,https://www.investing.com/equities/hologic-inc
Capital One Financial,https://www.investing.com/equities/capital-one
Welltower,https://www.investing.com/equities/health-care-reit
Fox Corp A,https://www.investing.com/equities/fox-corp
NRG,https://www.investing.com/equities/nrg-energy-inc
Edwards Lifesciences,https://www.investing.com/equities/edward-lifescience
VF,https://www.investing.com/equities/vf-corp
FedEx,https://www.investing.com/equities/fedex-corp
Wynn Resorts,https://www.investing.com/equities/wynn-resorts-ltd
Ingersoll Rand,https://www.investing.com/equities/ingersoll-rand
Hartford,https://www.investing.com/equities/hartford-finl
State Street,https://www.investing.com/equities/state-street
Royal Caribbean Cruises,https://www.investing.com/equities/royal-caribbean
Masco,https://www.investing.com/equities/masco-corp
Hess,https://www.investing.com/equities/hess-corp
Seagate,https://www.investing.com/equities/seagate-technology
Aflac,https://www.investing.com/equities/aflac-inc
PVH,https://www.investing.com/equities/pvh
Allstate,https://www.investing.com/equities/allstate-corporation
Enphase,https://www.investing.com/equities/enphase-energy-inc
Linde PLC,https://www.investing.com/equities/linde-plc?cid=942017
Howmet,https://www.investing.com/equities/howmet-aerospace-inc
PNC Financial,https://www.investing.com/equities/pnc-fin-serv
Iron Mountain,https://www.investing.com/equities/iron-mountain-inc
Charter Communications,https://www.investing.com/equities/charter-communications
Incyte,https://www.investing.com/equities/incyte-corp
Catalent Inc,https://www.investing.com/equities/catalent-inc
Accenture,https://www.investing.com/equities/accenture-ltd
PACCAR,https://www.investing.com/equities/paccar-inc
Kellogg,https://www.investing.com/equities/kellogg-co.
Dollar Tree,https://www.investing.com/equities/dollar-tree-inc
Eaton,https://www.investing.com/equities/eaton
Centene,https://www.investing.com/equities/centene
CBRE A,https://www.investing.com/equities/cbre
Zoetis Inc,https://www.investing.com/equities/zoetis-inc
Broadcom,https://www.investing.com/equities/avago-technologies
Take-Two,https://www.investing.com/equities/take-two-interactive
ServiceNow Inc,https://www.investing.com/equities/servicenow-inc
DISH Network,https://www.investing.com/equities/dish-network
PPG Industries,https://www.investing.com/equities/ppg-industries
Hilton Worldwide,https://www.investing.com/equities/hilton-worldwide
Pioneer Natural,https://www.investing.com/equities/pioneer-natural-resources
Ventas,https://www.investing.com/equities/ventas-inc
Edison,https://www.investing.com/equities/edison-intl
ONEOK,https://www.investing.com/equities/oneok
Tyson Foods,https://www.investing.com/equities/tyson-foods
BorgWarner,https://www.investing.com/equities/borgwarner
Diamondback,https://www.investing.com/equities/diamondback-energy-inc
WR Berkley,https://www.investing.com/equities/wr-berkley-corp
Vertex,https://www.investing.com/equities/vertex-pharm
Alphabet A,https://www.investing.com/equities/google-inc
M&T Bank,https://www.investing.com/equities/m-t-bank-corp
Kimberly-Clark,https://www.investing.com/equities/kimberly-clark
Arista Networks,https://www.investing.com/equities/arista-networks
Quanta Services,https://www.investing.com/equities/quanta-services
Waste Management,https://www.investing.com/equities/waste-managemnt
ADP,https://www.investing.com/equities/auto-data-process
Eversource Energy,https://www.investing.com/equities/northeast-utilities
Pentair,https://www.investing.com/equities/pentair
Fortune Brands,https://www.investing.com/equities/fortune-brands-home---security
Marriott Int,https://www.investing.com/equities/marriott-intl
Lam Research,https://www.investing.com/equities/lam-research-corp
Campbell Soup,https://www.investing.com/equities/campbell-soup
Skyworks,https://www.investing.com/equities/skyworks-solutions-inc
Entergy,https://www.investing.com/equities/entergy-corp
Marsh McLennan,https://www.investing.com/equities/marsh---mclennan
Hormel Foods,https://www.investing.com/equities/hormel-foods-corp
Alliant Energy,https://www.investing.com/equities/alliant-energy
American Tower,https://www.investing.com/equities/amer-tower-corp
AO Smith,https://www.investing.com/equities/a.o-smith-corp
Dollar General,https://www.investing.com/equities/dollar-general-corp
Intuit,https://www.investing.com/equities/intuit
Lockheed Martin,https://www.investing.com/equities/lockheed-martin
First Republic Bank,https://www.investing.com/equities/first-republic-bank
T Rowe,https://www.investing.com/equities/t-rowe-price-gp
Simon Property,https://www.investing.com/equities/simon-prop-grp
Teradyne,https://www.investing.com/equities/teradyne-inc
CME Group,https://www.investing.com/equities/cme-group-inc.
Expeditors Washington,https://www.investing.com/equities/expeditors-intl-wash-inc
Church&Dwight,https://www.investing.com/equities/church---dwight
CMS Energy,https://www.investing.com/equities/cms-energy-corp
Digital,https://www.investing.com/equities/digital-realty-trust-inc
Trane Technologies,https://www.investing.com/equities/trane-technologies-plc
Cerner,https://www.investing.com/equities/cerner-corporatio
Live Nation Entertainment,https://www.investing.com/equities/live-nation-entertainment-inc
Citrix Systems,https://www.investing.com/equities/citrix-sys-inc
Global Payments,https://www.investing.com/equities/global-payments
Stanley Black Decker,https://www.investing.com/equities/stanley-works
Darden Restaurants,https://www.investing.com/equities/dardem-rest
Ball,https://www.investing.com/equities/ball-corp
Generac,https://www.investing.com/equities/generac-holdings
Paychex,https://www.investing.com/equities/paychex-inc
WestRock Co,https://www.investing.com/equities/westrock-co
Lincoln National,https://www.investing.com/equities/lincoln-natl
Autodesk,https://www.investing.com/equities/autodesk-inc
Equity Residential,https://www.investing.com/equities/eq-resident
Thermo Fisher Scientific,https://www.investing.com/equities/thermo-fisher-sc
TE Connectivity,https://www.investing.com/equities/te-connectivity
LyondellBasell Industries,https://www.investing.com/equities/lyondellbasell-industries
Molson Coors Brewing B,https://www.investing.com/equities/molson-coors
Alaska Air,https://www.investing.com/equities/alaska-air
Norfolk Southern,https://www.investing.com/equities/norfolk-southern
Estee Lauder,https://www.investing.com/equities/estee-lauder
Air Products,https://www.investing.com/equities/air-prods---chem
Comerica,https://www.investing.com/equities/comerica-inc
Sempra Energy,https://www.investing.com/equities/sempra-energy
Cadence Design,https://www.investing.com/equities/cadence-design-system-inc
Vornado,https://www.investing.com/equities/vornado-realty
Prudential Financial,https://www.investing.com/equities/prudential-fin
WEC Energy,https://www.investing.com/equities/wisconsin-energy-corp
Crown Castle,https://www.investing.com/equities/crown-castle-int
Dentsply,https://www.investing.com/equities/dentsply-intl-inc-new
Hershey Co,https://www.investing.com/equities/hershey-co
IQVIA Holdings,https://www.investing.com/equities/quintis-trl-hlgs
Zimmer Biomet,https://www.investing.com/equities/zimmer-hldgs
Brown Forman,https://www.investing.com/equities/brown-forman-b
Organon Co,https://www.investing.com/equities/organon-co
Principal Financial,https://www.investing.com/equities/principal-fin
Xylem,https://www.investing.com/equities/xylem
Old Dominion Freight Line,https://www.investing.com/equities/old-dominion-freight-line-inc
Duke,https://www.investing.com/equities/duke-realty-corp
Eastman Chemical,https://www.investing.com/equities/eastman-chem
Robert Half,https://www.investing.com/equities/robert-half-intl
Alphabet C,https://www.investing.com/equities/google-inc-c
Raymond James Financial,https://www.investing.com/equities/raymond-james-financial-inc
Deere&Company,https://www.investing.com/equities/deere---co
Intuitive Surgical,https://www.investing.com/equities/intuitive-surgical-inc
Travelers,https://www.investing.com/equities/the-travelers-co
HCA,https://www.investing.com/equities/hca-holdings-inc
McKesson,https://www.investing.com/equities/mckesson-corp
Constellation Brands A,https://www.investing.com/equities/constellation-a
AmerisourceBergen,https://www.investing.com/equities/amerisourcebergn
Discover,https://www.investing.com/equities/discover-financl
Textron,https://www.investing.com/equities/textron-inc
Arthur J Gallagher,https://www.investing.com/equities/arthur-j.-gallagher---co
Qorvo Inc,https://www.investing.com/equities/qorvo-inc
Ceridian HCM,https://www.investing.com/equities/ceridian-hcm-holding-inc
CH Robinson,https://www.investing.com/equities/c-h-robinson-worldwide-inc
KLA-Tencor,https://www.investing.com/equities/kla-tencor-corp
JB Hunt,https://www.investing.com/equities/j.b.-hunt-transpo
Rollins,https://www.investing.com/equities/rollins-inc
UDR,https://www.investing.com/equities/udr
Chubb,https://www.investing.com/equities/chubb-corp
DXC Technology,https://www.investing.com/equities/comp-science
Illinois Tool Works,https://www.investing.com/equities/illinois-tool-wk-r
Cigna,https://www.investing.com/equities/cigna-corp
Akamai,https://www.investing.com/equities/akamai-technologies-inc
Omnicom,https://www.investing.com/equities/omnicom-gp-inc
Evergy,https://www.investing.com/equities/westar-energy
Ecolab,https://www.investing.com/equities/ecolab-inc
Whirlpool,https://www.investing.com/equities/whirl-pool-corp
BlackRock,"https://www.investing.com/equities/blackrock,-inc.-c"
Brown&Brown,https://www.investing.com/equities/brown---brown-inc
Cummins,https://www.investing.com/equities/cummins-inc
Stryker,https://www.investing.com/equities/stryker
DTE Energy,https://www.investing.com/equities/dte-energy
Henry Schein,https://www.investing.com/equities/henry-schein
Regency Centers,https://www.investing.com/equities/regency-centers-corp
Equifax,https://www.investing.com/equities/equifax-inc
Lamb Weston Holdings,https://www.investing.com/equities/lamb-weston-holdings-inc
Humana,https://www.investing.com/equities/humana-inc
Anthem,https://www.investing.com/equities/wellpoint-inc
L3Harris Technologies,https://www.investing.com/equities/harris-corporation
Quest Diagnostics,https://www.investing.com/equities/quest-diag
Keysight Technologies,https://www.investing.com/equities/keysight-technologies
Clorox,https://www.investing.com/equities/clorox-co
Alexandria RE,https://www.investing.com/equities/alexandria-real-estate-equities
Ameren,https://www.investing.com/equities/ameren-corp
Pinnacle West,https://www.investing.com/equities/pinnacle-west
Sherwin-Williams,https://www.investing.com/equities/sherwinwilliams
Republic Services,https://www.investing.com/equities/republic-services-inc
Tractor Supply,https://www.investing.com/equities/tractor-supply-company
Ametek,https://www.investing.com/equities/ametek-inc
Zions,https://www.investing.com/equities/zions-bancorp
Becton Dickinson,https://www.investing.com/equities/becton-dickinsn
Trimble,https://www.investing.com/equities/trimble-navigation-ltd
Dover,https://www.investing.com/equities/dover-corp
Biogen,https://www.investing.com/equities/biogen-idec-inc
American Water Works,https://www.investing.com/equities/american-water-works-inc
Synopsys,https://www.investing.com/equities/synopsys-inc
SBA Communications,https://www.investing.com/equities/sba-communications-corp
Fortinet,https://www.investing.com/equities/fortinet
Advance Auto Parts,https://www.investing.com/equities/advance-auto-parts
Hasbro,https://www.investing.com/equities/hasbro-inc
Atmos Energy,https://www.investing.com/equities/atmos-energy-corp
Celanese,https://www.investing.com/equities/celanese
FMC,https://www.investing.com/equities/fmc-corp
Garmin,https://www.investing.com/equities/garmin-ltd
IFF,https://www.investing.com/equities/intl-flav---frag
General Dynamics,https://www.investing.com/equities/general-dynam
Fox Corp B,https://www.investing.com/equities/fox-corp-b
CDW Corp,https://www.investing.com/equities/cdw-corp
Copart,https://www.investing.com/equities/copart-inc
Willis Towers Watson,https://www.investing.com/equities/willis-group-holdings-plc
Universal Health Services,https://www.investing.com/equities/universal-health-services
Aon,https://www.investing.com/equities/aon-corp
Albemarle,https://www.investing.com/equities/albemarle
F5 Networks,https://www.investing.com/equities/f5-networks-inc
Jacobs Engineering,https://www.investing.com/equities/jacobs-engineer
McCormick&Co,https://www.investing.com/equities/mccormick---co
Nasdaq Inc,https://www.investing.com/equities/nasdaq-omx-group
Signature Bank,https://www.investing.com/equities/signature-bank
Mid-America Apartment,https://www.investing.com/equities/mid-america-apartment-communities
AvalonBay,https://www.investing.com/equities/avalonbay-comm
Allegion PLC,https://www.investing.com/equities/allegion-public
Northrop Grumman,https://www.investing.com/equities/northrop-grumman
Sealed Air,https://www.investing.com/equities/sealed-air
DexCom,https://www.investing.com/equities/dexcom
Westinghouse Air Brake,https://www.investing.com/equities/westinghouse-air-brake-tech
Moodys,https://www.investing.com/equities/moodys-corp
Verisk,https://www.investing.com/equities/verisk-analytics-inc
EPAM Systems,https://www.investing.com/equities/epam-systems-inc
Ralph Lauren A,https://www.investing.com/equities/polo-ralph-laur
Northern Trust,https://www.investing.com/equities/northern-trust
Public Storage,https://www.investing.com/equities/public-stg-mld
Illumina,"https://www.investing.com/equities/illumina,-inc."
Cboe Global,https://www.investing.com/equities/cboe-holdings-inc
News Corp,https://www.investing.com/equities/news-corporation
SolarEdge Technologies Inc,https://www.investing.com/equities/solaredge-technologies-inc
JM Smucker,https://www.investing.com/equities/jm-smucker-co
Ulta Beauty,https://www.investing.com/equities/ulta-salon-cosmetics---fragrance
Boston Properties,https://www.investing.com/equities/boston-ppty
Align,https://www.investing.com/equities/align-technology
Ameriprise Financial,https://www.investing.com/equities/ameriprise-fincl
PerkinElmer,https://www.investing.com/equities/perkinelmer
Loews,https://www.investing.com/equities/loews-corporation
Motorola,https://www.investing.com/equities/motorola-inc
Gartner,https://www.investing.com/equities/gartner
Genuine Parts,https://www.investing.com/equities/genuine-parts-co
United Rentals,https://www.investing.com/equities/united-rentals
Packaging America,https://www.investing.com/equities/packaging-corp
MSCI,https://www.investing.com/equities/msci-inc
Charles River Laboratories,https://www.investing.com/equities/charles-river-laboratories-intl
IDEXX Labs,https://www.investing.com/equities/idexx-laboratorie
Broadridge,https://www.investing.com/equities/broadridge-financial-solutions
Regeneron Pharma,https://www.investing.com/equities/regeneron-phar.
PTC,https://www.investing.com/equities/ptc
Roper Technologies,https://www.investing.com/equities/roper-industries
Laboratory America,https://www.investing.com/equities/laboratory-corp-of-amer
Leidos,https://www.investing.com/equities/leidos-holdings
Cincinnati Financial,https://www.investing.com/equities/cincinnati-fin
Rockwell Automation,https://www.investing.com/equities/rockwell-automat
Domino’s Pizza Inc,https://www.investing.com/equities/dominos-pizza-inc
O’Reilly Automotive,https://www.investing.com/equities/oreilly-automotive
Extra Space Storage,https://www.investing.com/equities/extra-space-storage
Jack Henry&Associates,https://www.investing.com/equities/jack-henry---asso
Mohawk Industries,https://www.investing.com/equities/mohawk-industries
SVB,https://www.investing.com/equities/svb-financial-gro
ANSYS,https://www.investing.com/equities/ansys
Parker-Hannifin,https://www.investing.com/equities/parkerhannifin
MarketAxesss,https://www.investing.com/equities/marketaxess-holdi
DaVita,https://www.investing.com/equities/davita-inc
Monolithic,https://www.investing.com/equities/monolithic-power
Globe Life,https://www.investing.com/equities/torchmark-corp
ResMed,https://www.investing.com/equities/resmed-inc
Avery Dennison,https://www.investing.com/equities/avery-dennison
FleetCor,https://www.investing.com/equities/fleetcor-tech
STERIS,https://www.investing.com/equities/steris-corp
IPG Photonics,https://www.investing.com/equities/ipg-photonics-corp.
Huntington Ingalls Industries,https://www.investing.com/equities/huntington-ingalls-industries-inc
Vulcan Materials,https://www.investing.com/equities/vulcan-matrls
Bio-Rad Labs,https://www.investing.com/equities/bio-rad-laboratories-inc
Waters,https://www.investing.com/equities/waters-corp
VeriSign,https://www.investing.com/equities/verisign-inc
Cintas,https://www.investing.com/equities/cintas-corp
Paycom Soft,https://www.investing.com/equities/paycom-soft
Snap-On,https://www.investing.com/equities/snapon-inc
IDEX,https://www.investing.com/equities/idex
Everest,https://www.investing.com/equities/everest-re-group-ltd
Assurant,https://www.investing.com/equities/assurant
WW Grainger,https://www.investing.com/equities/w-w-grainger-inc
West Pharmaceutical Services,https://www.investing.com/equities/west-pharmaceutical-services-inc
Martin Marietta Materials,https://www.investing.com/equities/martin-marietta-materials-inc
Federal Realty,https://www.investing.com/equities/federal-realty-investment-trust
Booking,https://www.investing.com/equities/priceline.com-inc
Equinix,"https://www.investing.com/equities/equinix,-inc."
Zebra,https://www.investing.com/equities/zebra-tech
FactSet Research,https://www.investing.com/equities/factset-research-systems-inc
Transdigm,https://www.investing.com/equities/transdigm-group-inc
Pool,https://www.investing.com/equities/pool-corp
Cooper,https://www.investing.com/equities/cooper-companies-inc
Teleflex,https://www.investing.com/equities/teleflex-inc
Teledyne Technologies,https://www.investing.com/equities/teledyne-technologies-inc
Essex Property,https://www.investing.com/equities/essex-property-trust-inc
Chipotle Mexican Grill,https://www.investing.com/equities/chipotle-mexican-grill-inc
ABIOMED,https://www.investing.com/equities/abiomed
AutoZone,https://www.investing.com/equities/autozone-inc
Mettler-Toledo,https://www.investing.com/equities/mettler-toledo-international-inc
Bio-Techne,https://www.investing.com/equities/techne-corp
Tyler Technologies,https://www.investing.com/equities/tyler-technologies-inc
NVR,https://www.investing.com/equities/nvr-inc
